x,y
1.902213169939306283e+02,2.020922138195724358e+02
1.805655333439791264e+02,2.046933370587384218e+02
1.710591148819647458e+02,2.077962402195012430e+02
1.617281180401087965e+02,2.113924184599774208e+02
1.525981184321651938e+02,2.154720149055770833e+02
1.436941407524408021e+02,2.200238476660121307e+02
1.350405901848478436e+02,2.250354404840802260e+02
1.266611855099911708e+02,2.304930569322185647e+02
1.185788940936392919e+02,2.363817380630970888e+02
1.108158689347712453e+02,2.426853434110532532e+02
1.033933879457462126e+02,2.493865952319865755e+02
9.633179563102478937e+01,2.564671258604541322e+02
8.965044732429636554e+01,2.639075280541649704e+02
8.336765613685486187e+01,2.716874081878821698e+02
7.750064276263358920e+01,2.797854421509319991e+02
7.206548827748018482e+01,2.881794337951092189e+02
6.707709006204549951e+01,2.968463757727762982e+02
6.254912096909873753e+01,3.057625125984042711e+02
5.849399184718839706e+01,3.149034057607070736e+02
5.492281752336905498e+01,3.242440007069026251e+02
5.184538633823301979e+01,3.337586955155001078e+02
4.927013331674913132e+01,3.434214110693875455e+02
4.720411704844563161e+01,3.532056625368788332e+02
4.565300034030691023e+01,3.630846319647965288e+02
4.462103469541317935e+01,3.730312417846175208e+02
4.411104865986603585e+01,3.830182290302059869e+02
4.412444006994022772e+01,3.930182200637087817e+02
4.466117222071155624e+01,4.030038056047939108e+02
4.571977396666255800e+01,4.129476158575827753e+02
4.729734375399008428e+01,4.228223955293582890e+02
4.938955757356260534e+01,4.326010785354276322e+02
5.199068081272866948e+01,4.422568621853791342e+02
5.509358397349158309e+01,4.517632806473935148e+02
5.868976221396784609e+01,4.610942774892494072e+02
6.276935865956760097e+01,4.702242770971930099e+02
6.732119142000273371e+01,4.791282547769173448e+02
7.233278423807090007e+01,4.877818053445102464e+02
7.779040068620932402e+01,4.961612100193668766e+02
8.367908181708791915e+01,5.042435014357187129e+02
8.998268716504416886e+01,5.120065265945867168e+02
9.668393898597754799e+01,5.194290075836116785e+02
1.037644696144451757e+02,5.264905998983330164e+02
1.112048718081560850e+02,5.331719482050614261e+02
1.189847519418733128e+02,5.394547393925029155e+02
1.270827859049231847e+02,5.453217527667241029e+02
1.354767775491004329e+02,5.507569072518774647e+02
1.435748115121503190e+02,5.566239206260986521e+02
1.513546916458675469e+02,5.629067118135401415e+02
1.587950938395784419e+02,5.695880601202685511e+02
1.658756244680460838e+02,5.766496524349898891e+02
1.725768762889794630e+02,5.840721334240148508e+02
1.788804816369357127e+02,5.918351585828828547e+02
1.847691627678143220e+02,5.999174499992346909e+02
1.902267792159527460e+02,6.082968546740912643e+02
1.952383720340208981e+02,6.169504052416841660e+02
1.997902047944560309e+02,6.258543829214085008e+02
2.038698012400557786e+02,6.349843825293520467e+02
2.074659794805320416e+02,6.443153793712079960e+02
2.105688826412949481e+02,6.538217978332223765e+02
2.131700058804610194e+02,6.634775814831738217e+02
2.152622197000335404e+02,6.732562644892432218e+02
2.168397894873610596e+02,6.831310441610187354e+02
2.178983912333120543e+02,6.930748544138076568e+02
2.184351233840833970e+02,7.030604399548927859e+02
2.184485147941575747e+02,7.130604309883955239e+02
2.179385287586104312e+02,7.230474182339839899e+02
2.169065631137167145e+02,7.329940280538049819e+02
2.153554464055779931e+02,7.428729974817226775e+02
2.132894301372745076e+02,7.526572489492139084e+02
2.107141771157906192e+02,7.623199645031013461e+02
2.086481608474871337e+02,7.721042159705925769e+02
2.070970441393484123e+02,7.819831853985102725e+02
2.060650784944546956e+02,7.919297952183312646e+02
2.055550924589075521e+02,8.019167824639197306e+02
2.055684838689817298e+02,8.119167734974224686e+02
2.061052160197530725e+02,8.219023590385075977e+02
2.071638177657040671e+02,8.318461692912965191e+02
2.087413875530315863e+02,8.417209489630720327e+02
2.108336013726041074e+02,8.514996319691414328e+02
2.134347246117701786e+02,8.611554156190928779e+02
2.165376277725330851e+02,8.706618340811072585e+02
2.201338060130093481e+02,8.799928309229632077e+02
2.242134024586090959e+02,8.891228305309067537e+02
2.287652352190442286e+02,8.980268082106310885e+02
2.337768280371123808e+02,9.066803587782239902e+02
2.392344444852508047e+02,9.150597634530805635e+02
2.451231256161294141e+02,9.231420548694323998e+02
2.514267309640856638e+02,9.309050800283004037e+02
2.581279827850190145e+02,9.383275610173253654e+02
2.652085134134866280e+02,9.453891533320467033e+02
2.726489156071975231e+02,9.520705016387751130e+02
2.804287957409147793e+02,9.583532928262166024e+02
2.878691979346256744e+02,9.650346411329450120e+02
2.949497285630932879e+02,9.720962334476663500e+02
3.016509803840266386e+02,9.795187144366913117e+02
3.079545857319828883e+02,9.872817395955593156e+02
3.138432668628614692e+02,9.953640310119111518e+02
3.193008833109998932e+02,1.003743435686767725e+03
3.243946293949056781e+02,1.012348884590380749e+03
3.291151582109656601e+02,1.021164586927503251e+03
3.335393826975486604e+02,1.030132654595196072e+03
3.376623914589173978e+02,1.039243132011537909e+03
3.414796074832776753e+02,1.048485905503481035e+03
3.449867932237854689e+02,1.057850714534186409e+03
3.482701248177895650e+02,1.067296334346767026e+03
3.513277425514266952e+02,1.076817414841907748e+03
3.541579145575598204e+02,1.086408563178561735e+03
3.567590377967258632e+02,1.096064346828513180e+03
3.591296389651145660e+02,1.105779296653418896e+03
3.612683753290631898e+02,1.115547910002585922e+03
3.632674029023419280e+02,1.125346067419226529e+03
3.651263140552799200e+02,1.135171770922054293e+03
3.668447297299034062e+02,1.145023016912750563e+03
3.684222995172309538e+02,1.154897796584526077e+03
3.698587017287266576e+02,1.164794096331745322e+03
3.711536434618971043e+02,1.174709898160528155e+03
3.724013715969303462e+02,1.184631751540872301e+03
3.736018578634869982e+02,1.194559431668868456e+03
3.747550750616080109e+02,1.204492713608588019e+03
3.758609970623309096e+02,1.214431372297179678e+03
3.769195988082819326e+02,1.224375182549968486e+03
3.779308563142435560e+02,1.234323919065558584e+03
3.788947466676981435e+02,1.244277356430937289e+03
3.798112480293470412e+02,1.254235269126582580e+03
3.807751383828016287e+02,1.264188706491961284e+03
3.817863958887632521e+02,1.274137443007551383e+03
3.828449976347142751e+02,1.284081253260340191e+03
3.839509196354371738e+02,1.294019911948931849e+03
3.851986477704704157e+02,1.303941765329275995e+03
3.865879276106026055e+02,1.313844790196749727e+03
3.882124831898990465e+02,1.323711948813584513e+03
3.901648491726229508e+02,1.333519510542653734e+03
3.926278276271237360e+02,1.343211452408588912e+03
3.955946677006571122e+02,1.352761209472414066e+03
3.990572374908040842e+02,1.362142606513812552e+03
4.030060463344501045e+02,1.371329929775587061e+03
4.074302708210331048e+02,1.380297997443279883e+03
4.123177844587594336e+02,1.389022228666776755e+03
4.176551909124749500e+02,1.397478710934708033e+03
4.234278607220886101e+02,1.405644265616979965e+03
4.296199714009056265e+02,1.413496511495789491e+03
4.362145508039637321e+02,1.421013926110985494e+03
4.431935236475026727e+02,1.428175904751636835e+03
4.505377610520608300e+02,1.434962816932112446e+03
4.582271329734039682e+02,1.441356060197878378e+03
4.662405633775773595e+02,1.447338111113531795e+03
4.745560880088498834e+02,1.452892573293320311e+03
4.831509145922122457e+02,1.458004222342494813e+03
4.920014853054185551e+02,1.462659047586318138e+03
5.010835413493394981e+02,1.466844290472349940e+03
5.103721894396446714e+02,1.470548479540752169e+03
5.198419700375645789e+02,1.473761461866763284e+03
5.294669271327167053e+02,1.476474430889159294e+03
5.392206793867258057e+02,1.478679950548426177e+03
5.490764924426385960e+02,1.480371975668481582e+03
5.590073522019380334e+02,1.481545868526082813e+03
5.689860388683094925e+02,1.482198411562503225e+03
5.789852015552104376e+02,1.482327816202637905e+03
5.889774332527492788e+02,1.481933727757362931e+03
5.989353459483946835e+02,1.481017226395714033e+03
6.088316456956138154e+02,1.479580824184218272e+03
6.186392074246830362e+02,1.477628458201494368e+03
6.283311492906181002e+02,1.475165479746993697e+03
6.378809063544431410e+02,1.472198639673460320e+03
6.472623033958417409e+02,1.468736069883313348e+03
6.564496266576162498e+02,1.464787261039667328e+03
6.654176943253091849e+02,1.460363036553084385e+03
6.741419255488061708e+02,1.455475522915358169e+03
6.825984078167374491e+02,1.450138116461642767e+03
6.907639624990094944e+02,1.444365446652029050e+03
6.986162083778190208e+02,1.438173335973212033e+03
7.061336229930150239e+02,1.431578756570153928e+03
7.132956016336663652e+02,1.424599783726614987e+03
7.200825138141420894e+02,1.417255546322056944e+03
7.264757570799079076e+02,1.409566174400713862e+03
7.324578079955613248e+02,1.401552743996540585e+03
7.380122701753498404e+02,1.393237219365268174e+03
7.439943210910032576e+02,1.385223788961094897e+03
7.503875643567690759e+02,1.377534417039751816e+03
7.571744765372448001e+02,1.370190179635193772e+03
7.643364551778961413e+02,1.363211206791654831e+03
7.718538697930921444e+02,1.356616627388596726e+03
7.797061156719016708e+02,1.350424516709779709e+03
7.878716703541737161e+02,1.344651846900165992e+03
7.963281526221049944e+02,1.339314440446450590e+03
8.050523838456019803e+02,1.334426926808724374e+03
8.140204515132949155e+02,1.330002702322141431e+03
8.232077747750694243e+02,1.326053893478495411e+03
8.325891718164680242e+02,1.322591323688348439e+03
8.421389288802930650e+02,1.319624483614815063e+03
8.518308707462281291e+02,1.317161505160314391e+03
8.616384324752973498e+02,1.315209139177590487e+03
8.715347322225164817e+02,1.313772736966094726e+03
8.814926449181618864e+02,1.312856235604445828e+03
8.914848766157007276e+02,1.312462147159170854e+03
9.014840393026016727e+02,1.312591551799305535e+03
9.114627259689731318e+02,1.313244094835725946e+03
9.213935857282725692e+02,1.314417987693327177e+03
9.312493987841853595e+02,1.316110012813382582e+03
9.410031510381944599e+02,1.318315532472649465e+03
1.925762863005424208e+02,1.933001138137662451e+02
1.855133914929773766e+02,1.862208824333640962e+02
1.788306744810365956e+02,1.787817095399358607e+02
1.725464521275398511e+02,1.710029853892918936e+02
1.666779490491471449e+02,1.629060309236365924e+02
1.612412504048816970e+02,1.545130393323479439e+02
1.562512578078271304e+02,1.458470152219879594e+02
1.517216484808418784e+02,1.369317115622751828e+02
1.476648377682418811e+02,1.277915645808457299e+02
1.440919451062049461e+02,1.184516267852518752e+02
1.410127635451690082e+02,1.089374982957802160e+02
1.384357329077615475e+02,9.927525667730144221e+01
1.363679166558325164e+02,8.949138546247762349e+01
1.348149825299962856e+02,7.961270156224003358e+01
1.337811870147486673e+02,6.966628176250033277e+01
1.332693636717386880e+02,5.967938850856244670e+01
1.332809153731731726e+02,4.967939518065497850e+01
1.338158104566414011e+02,3.969371106539870198e+01
1.348725828118996901e+02,2.974970622885714988e+01
1.364483358993776392e+02,1.987463649708797675e+01
1.385387506893917191e+02,1.009556874981828223e+01
1.411380975003054630e+02,4.393067320086672112e-01
1.442392517031885006e+02,-9.067682413348594039e+00
1.478337132499293602e+02,-1.839934068982879012e+01
1.519116299712763407e+02,-2.753009067073170257e+01
1.564618245809487860e+02,-3.643490560503033038e+01
1.614718253118017230e+02,-4.508937801395585154e+01
1.669279001000727476e+02,-5.346978659020040681e+01
1.728150942240143308e+02,-6.155316121637156357e+01
1.791172712937465974e+02,-6.931734592448746923e+01
1.858171574799803523e+02,-7.674105962394504843e+01
1.928963888603825012e+02,-8.380395443151009260e+01
2.003355617538107367e+02,-9.048667144345087365e+01
2.081142859044547038e+02,-9.677089379694761817e+01
2.162112403701100050e+02,-1.026393968753403243e+02
2.246042319613986535e+02,-1.080760955196057864e+02
2.332702560717586380e+02,-1.130660881166603389e+02
2.421855597314714146e+02,-1.175956974436456051e+02
2.513257067129008817e+02,-1.216525081562455881e+02
2.606656445084947222e+02,-1.252254008182825231e+02
2.701797729979663814e+02,-1.283045823793184752e+02
2.798420146164451694e+02,-1.308816130167259359e+02
2.896258858312689881e+02,-1.329494292686549954e+02
2.995045697315065922e+02,-1.345023633944912262e+02
3.094509895312463073e+02,-1.355361589097388730e+02
3.194378827851841720e+02,-1.360479822527488523e+02
3.294378761130916473e+02,-1.360364305513143961e+02
3.394235602283479238e+02,-1.355015354678461961e+02
3.493675650648895044e+02,-1.344447631125879354e+02
3.592426347966587059e+02,-1.328690100251100148e+02
3.690217025439284271e+02,-1.307785952350959633e+02
3.786779645617380652e+02,-1.281792484241822763e+02
3.881849537070953602e+02,-1.250780942212992528e+02
3.975166119835755580e+02,-1.214836326745584358e+02
4.066473619644784776e+02,-1.174057159532114696e+02
4.155521768987771338e+02,-1.128555213435390669e+02
