x,y
1.922918147402206387e+03,8.809946692013370466e+02
1.912967538486264402e+03,8.800020050073751463e+02
1.903082518563831627e+03,8.784899265923760368e+02
1.893290181787416032e+03,8.764625784581719472e+02
1.883617368271465011e+03,8.739255174250795335e+02
1.874090590525476728e+03,8.708856974010415115e+02
1.864735960785054658e+03,8.673514503214485103e+02
1.855579119440084924e+03,8.633324633118832026e+02
1.846645164756210079e+03,8.588397521363823444e+02
1.837958584082226935e+03,8.538856310039935806e+02
1.829543186731965989e+03,8.484836788163839856e+02
1.821422038724617096e+03,8.426487019490147077e+02
1.813617399562374430e+03,8.363966936678949651e+02
1.806150661218688128e+03,8.297447902931514818e+02
1.799042289504351402e+03,8.227112242295663691e+02
1.792311767972136295e+03,8.153152739928226538e+02
1.785977544513729981e+03,8.075772113684331543e+02
1.780056980795345225e+03,7.995182458481850745e+02
1.774566304670601085e+03,7.911604664963977029e+02
1.769520565701103124e+03,7.825267814053321445e+02
1.764933593906641590e+03,7.736408549057027813e+02
1.760817961858068657e+03,7.645270427043921018e+02
1.757184950216755624e+03,7.552103251271504405e+02
1.754044516815083625e+03,7.457162386492599353e+02
1.751405269362717718e+03,7.360708059018306813e+02
1.749274441853473036e+03,7.263004643455775522e+02
1.747657874737440579e+03,7.164319938075781238e+02
1.746559998912719038e+03,7.064924430796280603e+02
1.745983823580631451e+03,6.965090557793830612e+02
1.745930927997713752e+03,6.865091956774962227e+02
1.746401457147082056e+03,6.765202716954250945e+02
1.747394121341043956e+03,6.665696627794829965e+02
1.748906199756042952e+03,6.566846428570502212e+02
1.750933547890246928e+03,6.468923060806347394e+02
1.753470608923339341e+03,6.372194925646837191e+02
1.756510428947377250e+03,6.276927148186954355e+02
1.760044676026970137e+03,6.183380850782733660e+02
1.764063663036535445e+03,6.091812437333037451e+02
1.768556374212036189e+03,6.002472890494289004e+02
1.773510495344424953e+03,5.915607083754456426e+02
1.778912447532034548e+03,5.831453110251845828e+02
1.784747424399403826e+03,5.750241630178358037e+02
1.790999432680523569e+03,5.672195238555932519e+02
1.797651336055266938e+03,5.597527855119068363e+02
1.804684902118852051e+03,5.526444137975699959e+02
1.812080852355595653e+03,5.459138922653548889e+02
1.819818914979985266e+03,5.395796688069484617e+02
1.827877880500233232e+03,5.336591050885637060e+02
1.836235659852020717e+03,5.281684289638194514e+02
1.844869344943086389e+03,5.231226899943213766e+02
1.853755271442715639e+03,5.185357181998598435e+02
1.862869083644026432e+03,5.144200861512870233e+02
1.872185801221268093e+03,5.107870745099739338e+02
1.881679887699158598e+03,5.076466411083018784e+02
1.891325320446587739e+03,5.050073936559359709e+02
1.901095662002840754e+03,5.028765661466913457e+02
1.910964132540840183e+03,5.012599990306587756e+02
1.920903683268790246e+03,5.001621232059371778e+02
1.930887070569035359e+03,4.995859478738496477e+02
1.940886930670922084e+03,4.995330522909320052e+02
1.950875854652993212e+03,5.000035814403003087e+02
1.960826463568935196e+03,5.009962456342622090e+02
