x,y
1.417981929560958179e+02,6.694416690441711353e+02
1.423077513592151888e+02,6.718891882440570953e+02
1.427966814840099232e+02,6.743409115834793965e+02
1.431839295793741087e+02,6.768107372681455445e+02
1.434787225228318164e+02,6.792932958516411190e+02
1.438500338292650724e+02,6.817655676639050171e+02
1.442284797803826848e+02,6.842367573899443869e+02
1.447132562929273263e+02,6.866893053982175843e+02
1.452543896322085857e+02,6.891300378106541302e+02
1.457789116360272601e+02,6.915743938950882921e+02
1.463058647673643122e+02,6.940182270312443507e+02
1.468093769174982981e+02,6.964669972357893357e+02
1.473211197351364490e+02,6.989140606368060844e+02
1.477678703388323243e+02,7.013738195473697488e+02
1.481646676775373805e+02,7.038421290644272403e+02
1.485945464830239757e+02,7.063048925960301858e+02
1.489189630577874937e+02,7.087837540052297527e+02
1.492212894230479776e+02,7.112654064323170360e+02
1.495154548713461224e+02,7.137480394476915535e+02
1.497924102663186829e+02,7.162326512300824106e+02
1.501176640307047023e+02,7.187114029297797515e+02
1.503575119414469157e+02,7.211998709283107019e+02
1.506195000917525135e+02,7.236861054725762870e+02
1.509452531311355017e+02,7.261647916078771914e+02
1.511671203813372699e+02,7.286549271309537517e+02
1.513006582816071273e+02,7.311513581092087861e+02
1.514489030253897397e+02,7.336469589378552882e+02
1.516023231903963904e+02,7.361422469478792436e+02
1.517637492023681034e+02,7.386370298327530008e+02
1.519498603685706826e+02,7.411300927348504501e+02
1.521455775635622274e+02,7.436224199163385720e+02
1.523146300817811039e+02,7.461166976166125551e+02
1.525161218514080019e+02,7.486085646007777541e+02
1.526240574965467260e+02,7.511062334932670410e+02
1.527803198935623072e+02,7.536013451266973107e+02
1.530132444360224895e+02,7.560904707076031173e+02
1.531455550395849627e+02,7.585869670332933765e+02
1.533916093303870412e+02,7.610748290242361236e+02
1.536270712161629035e+02,7.635637158638387518e+02
1.538783629850557020e+02,7.660510542901263307e+02
1.542073785628929556e+02,7.685293094726166601e+02
1.544472163778087008e+02,7.710177784442006441e+02
1.546654422312782344e+02,7.735082357268853457e+02
1.547729822594879465e+02,7.760059216843933427e+02
1.549922305078345346e+02,7.784962891684400574e+02
1.552518487838084980e+02,7.809827722974357584e+02
1.554196428235033807e+02,7.834771349736003003e+02
1.554800132795594152e+02,7.859764059489119745e+02
1.556663909019127914e+02,7.884694489453092956e+02
1.557263045488179500e+02,7.909687309131782058e+02
1.557814684900315001e+02,7.934681222269963428e+02
1.557157985962419673e+02,7.959672595711712120e+02
1.556258774518943824e+02,7.984656418853495552e+02
1.555621085037516593e+02,8.009648284572670036e+02
1.556034637992728733e+02,8.034644863817703708e+02
1.556733804586918382e+02,8.059635085226758520e+02
1.558411112711416422e+02,8.084578754512881460e+02
1.560453732555091904e+02,8.109495168865155392e+02
1.562091200088135565e+02,8.134441485228062447e+02
1.562761015871084851e+02,8.159432510553505153e+02
1.562471212370152216e+02,8.184430830775688719e+02
1.562475041037941139e+02,8.209430830482514239e+02
1.563640285550267208e+02,8.234403659822148711e+02
1.563958647845535381e+02,8.259401632648939540e+02
1.565422296399999880e+02,8.284358750529596591e+02
1.565793324588537132e+02,8.309355997139639385e+02
1.566414558021236871e+02,8.334348277328170980e+02
1.566378327339139389e+02,8.359348251074910650e+02
1.566240990298818474e+02,8.384347873842812078e+02
1.567270670408403532e+02,8.409326660019725068e+02
1.568617521959576777e+02,8.434290353474402764e+02
1.569622518001901028e+02,8.459270144965825011e+02
1.571879101860236290e+02,8.484168093260619798e+02
1.573313389261215036e+02,8.509126915741886705e+02
1.574669947733031563e+02,8.534090083591992197e+02
1.577280755136746109e+02,8.558953383547965359e+02
1.579476804850616247e+02,8.583856744077303347e+02
1.581567244388114943e+02,8.608769192020853325e+02
1.584938591001688906e+02,8.633540829472001406e+02
1.588995293571251466e+02,8.658209497134890853e+02
1.593971504575631855e+02,8.682709238440461377e+02
1.598293105132114249e+02,8.707332880913301096e+02
1.603323574207123841e+02,8.731821539122466902e+02
1.607069613582086163e+02,8.756539289606708962e+02
1.611830762029774178e+02,8.781081731731710533e+02
1.617751365270978852e+02,8.805370545149830832e+02
1.624011542154791243e+02,8.829574061121345494e+02
1.629103680346566421e+02,8.854049970269645655e+02
1.634712261281152053e+02,8.878412725037943574e+02
1.639494503401167833e+02,8.902951065656362744e+02
1.644983110365305663e+02,8.927341129075575736e+02
1.651113778335190148e+02,8.951577773031433480e+02
1.656738186932802535e+02,8.975936878678544417e+02
1.661694181738614873e+02,9.000440717469329002e+02
1.665666099177088313e+02,9.025123178283881771e+02
1.669182855316164193e+02,9.049874590895251458e+02
1.671504723562216270e+02,9.074766535934720650e+02
1.674923316116383489e+02,9.099531697451427590e+02
1.679383345443020517e+02,9.124130643331394594e+02
1.684037144869004976e+02,9.148693667389981101e+02
1.688188360072203409e+02,9.173346606613058611e+02
1.691353600014592473e+02,9.198145422232097417e+02
1.694036230796370148e+02,9.223001075353442957e+02
1.696002662003975274e+02,9.247923618327741906e+02
1.697483622636438838e+02,9.272879714889605793e+02
1.698002836254427450e+02,9.297874322652459114e+02
1.697687853169518917e+02,9.322872338286829290e+02
1.696481472260594501e+02,9.347843214224660642e+02
1.695025124765681710e+02,9.372800759215585913e+02
1.693665802029550491e+02,9.397763776695430806e+02
1.692156775325784110e+02,9.422718191904112928e+02
1.689525798688192992e+02,9.447579365688397957e+02
1.686879843117554572e+02,9.472438949737979783e+02
1.683529589868192318e+02,9.497213448787711059e+02
1.680866305518316040e+02,9.522071182322200684e+02
1.677386435036132468e+02,9.546827807726872379e+02
1.673777502061768701e+02,9.571565948376212418e+02
1.669087461465444449e+02,9.596122078348274727e+02
1.665552038830186063e+02,9.620870831585359610e+02
1.662124491465947926e+02,9.645634755326678942e+02
1.658965924620047758e+02,9.670434421765564821e+02
1.656204779895232946e+02,9.695281475510598739e+02
1.653021662650859014e+02,9.720078002779725921e+02
1.649855061173221316e+02,9.744876644578861260e+02
1.647419174094965797e+02,9.769757690661009519e+02
1.644186272306580463e+02,9.794547776300770465e+02
1.640386482793564085e+02,9.819257321008368535e+02
1.635720361582374949e+02,9.843818007335148650e+02
1.630902373064085680e+02,9.868349354355596006e+02
1.625067232005665971e+02,9.892658840751411162e+02
1.618426143536662778e+02,9.916760623754892094e+02
1.611315522516801195e+02,9.940728082291664123e+02
1.603501725506923776e+02,9.964475599557442820e+02
1.596598808186362533e+02,9.988503702530118744e+02
1.588618673166363919e+02,1.001219584141757650e+03
1.580607940095998174e+02,1.003587765206784866e+03
1.572998870717250668e+02,1.005969155689652780e+03
1.565419250447225465e+02,1.008351485130687820e+03
1.558286224990313826e+02,1.010747565154040672e+03
1.551718302196283616e+02,1.013159747547997767e+03
1.544756802650780969e+02,1.015560867128689210e+03
1.538365819137142694e+02,1.017977797681536003e+03
1.532340653563645390e+02,1.020404106358955119e+03
1.525798544955281955e+02,1.022816990141809924e+03
1.518480332687823307e+02,1.025207479148704579e+03
1.510775692837262341e+02,1.027585794781191453e+03
1.503278358986139835e+02,1.029970726614860496e+03
1.494796853700145221e+02,1.032322458036778471e+03
1.486846831377672800e+02,1.034692684070455925e+03
1.479075371651626654e+02,1.037068824667572244e+03
1.470688603678708262e+02,1.039423951252213556e+03
1.461294376520946514e+02,1.041740734574210592e+03
1.452823224237892816e+02,1.044092839119075279e+03
1.445116136803922302e+02,1.046471075447292378e+03
1.438634464647377342e+02,1.048885589738107456e+03
1.431252894343325295e+02,1.051274129919570441e+03
1.424828112079347022e+02,1.053690164217465281e+03
1.419240757482611173e+02,1.056126927375037894e+03
1.414922027721420932e+02,1.058589341989293189e+03
1.411470639616163396e+02,1.061065403216619643e+03
1.408549107592481562e+02,1.063548273834744123e+03
1.404708074659395152e+02,1.066018590547246731e+03
1.399808776254326119e+02,1.068470114308375969e+03
1.396069096077639244e+02,1.070941985648425998e+03
1.392260162141786566e+02,1.073412799324671823e+03
1.387184982770040165e+02,1.075860742449714962e+03
1.381725391385338924e+02,1.078300399929592231e+03
